Document Id,Company Code,Document Number,Fiscal Year,Document Status,Exception Reason,Document type,DP Document Type,Credit Memo,Reference,Vendor,Total Amt in Doc Curr,Doc Currency,Amt in Report Currency,Re. Currency,Posting date,Due Date,Related Object Key,Days to Due,Overdue,Requisitioner Name,Vendor Name,Purchasing Document,Plant,Purchasing Group,Cycle Time,Document Date,Exception Date,Enter on,Enter at,Start on,Start at,End on,End at,Update Date,Update Time,Reversal Doc#,Revsed F_Year,Old Doc Num,Old Company Code,Old Fiscal Year,Creation Date,Creation Time,End on2,End at3,Doc Currency4,Process Type,Rescan Reason,Delete Reason,Target System,Rescan Reason Code,Obsoleter Reason Code,IDoc number,User Mapping Object ID,DP ID before restart,Days Past Due,Days to Due5,Processor ID,Current Invoice,Aged 1-30 Days,Aged 31-45 Days,Aged 46-60 Days,Aged 61-90 Days,Aged 90+ Days,Current Agent Email,Valid
761,,1178502,,,,,,,,2049,3286.67,,,,10/10/2019,,,,,,Example Company 1,0000050761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,,1963323,,,,,,,,1432,2583.33,,,,09/09/2012,,,,,,WESTERN PACKAGING,0000050762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,,6289198,,,,,,,,9153,2420.00,,,,08/08/2017,,,,,,Water Supply INC,0000050763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,,9872751,,,,,,,,2122,2551.67,,,,09/06/2018,,,,,,WE SPRAY PESTICIDE CO.,0000050764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,4273093,,,,,,,,2122,2173.00,,,,07/20/2012,,,,,,WE SPRAY PESTICIDE CO.,0000050765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,,6871762,,,,,,,,9834,1547.00,,,,07/19/2019,,,,,,Supply All INC,0000050766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,,9794533,,,,,,,,1432,583.33,,,,07/14/2013,,,,,,WESTERN PACKAGING,0000050767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,,2310528,,,,,,,,2342,1291.33,,,,10/27/2016,,,,,,The Walter Co,0000050768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,,2982318,,,,,,,,2049,1969.33,,,,08/27/2018,,,,,,Example Company 1,0000050769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,1303668,,,,,,,,9834,1434.67,,,,08/14/2010,,,,,,Supply All INC,0000050770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,,25082,,,,,,,,2342,1260.00,,,,06/03/2019,,,,,,The Walter Co,0000050771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,,4453861,,,,,,,,1432,272.00,,,,05/16/2019,,,,,,WESTERN PACKAGING,0000050772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,,9457633,,,,,,,,9153,2324.33,,,,09/20/2014,,,,,,Water Supply INC,0000050773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,,4127493,,,,,,,,9153,1646.00,,,,11/15/2015,,,,,,Water Supply INC,0000050774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,,6487311,,,,,,,,9153,3071.00,,,,04/13/2017,,,,,,Water Supply INC,0000050775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,,2246633,,,,,,,,7732,2817.67,,,,05/28/2017,,,,,,Digital Supply Co,0000050776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,,6559718,,,,,,,,4500,3316.33,,,,07/06/2019,,,,,,PARTS HOUSE LLC.,0000050777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,8746712,,,,,,,,4500,2607.33,,,,07/19/2018,,,,,,PARTS HOUSE LLC.,0000050778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,,6803795,,,,,,,,9834,2690.33,,,,10/06/2011,,,,,,Supply All INC,0000050779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,,5493386,,,,,,,,9834,2349.00,,,,03/15/2010,,,,,,Supply All INC,0000050780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,,1832376,,,,,,,,4500,1144.00,,,,04/12/2017,,,,,,PARTS HOUSE LLC.,0000050781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,,1398383,,,,,,,,2342,3212.00,,,,08/14/2013,,,,,,The Walter Co,0000050782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,,8219037,,,,,,,,4500,2318.67,,,,03/23/2014,,,,,,PARTS HOUSE LLC.,0000050783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,,7774228,,,,,,,,9834,2331.00,,,,09/20/2013,,,,,,Supply All INC,0000050784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,8218091,,,,,,,,4500,257.33,,,,10/18/2015,,,,,,PARTS HOUSE LLC.,0000050785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,,8171051,,,,,,,,2342,2755.00,,,,03/10/2014,,,,,,The Walter Co,0000050786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,5963070,,,,,,,,2049,1994.00,,,,08/04/2017,,,,,,Example Company 1,0000050787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,6459587,,,,,,,,1432,1130.33,,,,11/01/2012,,,,,,WESTERN PACKAGING,0000050788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,,1657507,,,,,,,,2049,928.33,,,,05/16/2019,,,,,,Example Company 1,0000050789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,,1781806,,,,,,,,2049,2041.67,,,,01/23/2016,,,,,,Example Company 1,0000050790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,,8693098,,,,,,,,2049,1618.00,,,,11/18/2011,,,,,,Example Company 1,0000050791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,6479379,,,,,,,,2122,2375.00,,,,01/19/2015,,,,,,WE SPRAY PESTICIDE CO.,0000050792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,4718042,,,,,,,,9834,2692.33,,,,10/26/2016,,,,,,Supply All INC,0000050793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,,1504698,,,,,,,,2342,2486.67,,,,11/24/2011,,,,,,The Walter Co,0000050794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,,3290054,,,,,,,,9834,324.67,,,,04/02/2014,,,,,,Supply All INC,0000050795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,,7540637,,,,,,,,2049,1753.00,,,,01/27/2014,,,,,,Example Company 1,0000050796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,,7374069,,,,,,,,7732,1421.00,,,,05/16/2019,,,,,,Digital Supply Co,0000050797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,,3801114,,,,,,,,4500,2801.67,,,,04/19/2018,,,,,,PARTS HOUSE LLC.,0000050798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,,9248116,,,,,,,,2342,1522.33,,,,10/19/2019,,,,,,The Walter Co,0000050799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,6178026,,,,,,,,2122,993.33,,,,05/15/2014,,,,,,WE SPRAY PESTICIDE CO.,0000050800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,9598256,,,,,,,,4500,1868.00,,,,02/14/2018,,,,,,PARTS HOUSE LLC.,0000050801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,2060473,,,,,,,,1432,3067.67,,,,11/20/2011,,,,,,WESTERN PACKAGING,0000050802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,5979980,,,,,,,,4500,29.33,,,,04/06/2014,,,,,,PARTS HOUSE LLC.,0000050803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,8735334,,,,,,,,2122,2233.00,,,,04/10/2010,,,,,,WE SPRAY PESTICIDE CO.,0000050804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,5770352,,,,,,,,7732,1946.33,,,,06/08/2012,,,,,,Digital Supply Co,0000050805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,4298074,,,,,,,,7732,1251.33,,,,09/27/2014,,,,,,Digital Supply Co,0000050806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,5625214,,,,,,,,9834,2480.00,,,,11/08/2016,,,,,,Supply All INC,0000050807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,3168729,,,,,,,,4500,1511.33,,,,05/27/2013,,,,,,PARTS HOUSE LLC.,0000050808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,2577306,,,,,,,,9834,2101.67,,,,03/25/2010,,,,,,Supply All INC,0000050809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,5751882,,,,,,,,9153,882.33,,,,01/16/2012,,,,,,Water Supply INC,0000050810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,6113136,,,,,,,,2122,29.67,,,,02/25/2018,,,,,,WE SPRAY PESTICIDE CO.,0000050811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,2617450,,,,,,,,2049,3010.67,,,,05/19/2012,,,,,,Example Company 1,0000050812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,6249822,,,,,,,,9153,1786.33,,,,01/11/2014,,,,,,Water Supply INC,0000050813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,5742428,,,,,,,,2122,1422.33,,,,10/28/2013,,,,,,WE SPRAY PESTICIDE CO.,0000050814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,6374465,,,,,,,,2342,1367.67,,,,10/19/2012,,,,,,The Walter Co,0000050815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,466234,,,,,,,,2122,2045.33,,,,09/21/2013,,,,,,WE SPRAY PESTICIDE CO.,0000050816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,8117184,,,,,,,,2049,1784.33,,,,08/18/2018,,,,,,Example Company 1,0000050817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,2669309,,,,,,,,9834,234.33,,,,11/03/2013,,,,,,Supply All INC,0000050818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,2994528,,,,,,,,7732,74.00,,,,11/16/2015,,,,,,Digital Supply Co,0000050819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,7100905,,,,,,,,9153,1596.33,,,,08/03/2011,,,,,,Water Supply INC,0000050820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,9039980,,,,,,,,9153,1238.00,,,,10/15/2015,,,,,,Water Supply INC,0000050821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,2628389,,,,,,,,1432,2605.33,,,,06/02/2011,,,,,,WESTERN PACKAGING,0000050822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,2108506,,,,,,,,2342,2334.33,,,,04/25/2016,,,,,,The Walter Co,0000050823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,,929256,,,,,,,,2049,2180.67,,,,06/13/2012,,,,,,Example Company 1,0000050824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,,1686990,,,,,,,,2342,1362.00,,,,09/04/2015,,,,,,The Walter Co,0000050825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,,9449571,,,,,,,,9834,2561.00,,,,02/17/2017,,,,,,Supply All INC,0000050826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,4402283,,,,,,,,9153,2945.00,,,,03/26/2012,,,,,,Water Supply INC,0000050827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,,9789457,,,,,,,,2342,215.67,,,,09/12/2010,,,,,,The Walter Co,0000050828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,,7302440,,,,,,,,4500,1048.67,,,,01/01/2018,,,,,,PARTS HOUSE LLC.,0000050829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,3936184,,,,,,,,9153,395.00,,,,01/26/2016,,,,,,Water Supply INC,0000050830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,6650506,,,,,,,,9834,1639.33,,,,06/25/2011,,,,,,Supply All INC,0000050831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,2893102,,,,,,,,7732,2922.67,,,,11/28/2015,,,,,,Digital Supply Co,0000050832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,497692,,,,,,,,7732,1916.00,,,,10/18/2019,,,,,,Digital Supply Co,0000050833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,8248126,,,,,,,,1432,483.33,,,,04/06/2011,,,,,,WESTERN PACKAGING,0000050834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,69110,,,,,,,,2122,783.33,,,,02/01/2019,,,,,,WE SPRAY PESTICIDE CO.,0000050835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,,2142075,,,,,,,,7732,1777.67,,,,04/27/2019,,,,,,Digital Supply Co,0000050836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,5478796,,,,,,,,2122,2374.00,,,,08/13/2018,,,,,,WE SPRAY PESTICIDE CO.,0000050837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,3322286,,,,,,,,2342,1182.33,,,,01/02/2018,,,,,,The Walter Co,0000050838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,7918425,,,,,,,,2342,544.00,,,,04/10/2017,,,,,,The Walter Co,0000050839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,5991637,,,,,,,,9834,1282.00,,,,07/17/2010,,,,,,Supply All INC,0000050840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,,5478610,,,,,,,,2342,578.00,,,,06/24/2014,,,,,,The Walter Co,0000050841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,,2471772,,,,,,,,2122,726.67,,,,09/20/2019,,,,,,WE SPRAY PESTICIDE CO.,0000050842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,,2576612,,,,,,,,2049,1877.00,,,,04/15/2017,,,,,,Example Company 1,0000050843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,,9140595,,,,,,,,2122,3087.67,,,,10/05/2016,,,,,,WE SPRAY PESTICIDE CO.,0000050844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,5275860,,,,,,,,9834,1817.67,,,,09/26/2016,,,,,,Supply All INC,0000050845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,8217587,,,,,,,,1432,1557.00,,,,08/05/2017,,,,,,WESTERN PACKAGING,0000050846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,2532535,,,,,,,,4500,1796.33,,,,09/11/2015,,,,,,PARTS HOUSE LLC.,0000050847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,,8078803,,,,,,,,7732,2566.33,,,,03/12/2011,,,,,,Digital Supply Co,0000050848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,,383483,,,,,,,,7732,1719.33,,,,11/09/2014,,,,,,Digital Supply Co,0000050849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,4405376,,,,,,,,4500,293.67,,,,03/25/2010,,,,,,PARTS HOUSE LLC.,0000050850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,,3164957,,,,,,,,7732,3015.33,,,,08/03/2019,,,,,,Digital Supply Co,0000050851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,3176665,,,,,,,,2122,2436.67,,,,08/09/2016,,,,,,WE SPRAY PESTICIDE CO.,0000050852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,1634221,,,,,,,,9834,114.67,,,,09/13/2012,,,,,,Supply All INC,0000050853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,,6723034,,,,,,,,2342,1699.33,,,,08/21/2019,,,,,,The Walter Co,0000050854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,,9815598,,,,,,,,4500,39.67,,,,03/15/2012,,,,,,PARTS HOUSE LLC.,0000050855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,4076935,,,,,,,,2122,603.67,,,,10/19/2016,,,,,,WE SPRAY PESTICIDE CO.,0000050856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,,2763216,,,,,,,,9834,1004.00,,,,09/16/2011,,,,,,Supply All INC,0000050857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,,2988940,,,,,,,,7732,330.67,,,,09/15/2014,,,,,,Digital Supply Co,0000050858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,,9721816,,,,,,,,2122,3283.67,,,,10/18/2013,,,,,,WE SPRAY PESTICIDE CO.,0000050859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,,3280333,,,,,,,,2049,2545.33,,,,09/02/2011,,,,,,Example Company 1,0000050860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,2744340,,,,,,,,7732,644.00,,,,03/12/2019,,,,,,Digital Supply Co,0000050861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,1700096,,,,,,,,2342,1367.00,,,,07/02/2013,,,,,,The Walter Co,0000050862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,,3173378,,,,,,,,1432,114.67,,,,02/06/2012,,,,,,WESTERN PACKAGING,0000050863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,,540275,,,,,,,,2049,2638.67,,,,02/16/2010,,,,,,Example Company 1,0000050864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,,2043591,,,,,,,,4500,1928.67,,,,10/09/2010,,,,,,PARTS HOUSE LLC.,0000050865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,,6786255,,,,,,,,9834,1889.33,,,,08/05/2014,,,,,,Supply All INC,0000050866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,,9523951,,,,,,,,4500,2699.33,,,,11/25/2019,,,,,,PARTS HOUSE LLC.,0000050867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,,2239980,,,,,,,,9834,832.33,,,,06/18/2010,,,,,,Supply All INC,0000050868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,,5077362,,,,,,,,2342,1048.33,,,,02/01/2010,,,,,,The Walter Co,0000050869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,,7014093,,,,,,,,2122,1387.67,,,,08/24/2011,,,,,,WE SPRAY PESTICIDE CO.,0000050870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,9709809,,,,,,,,2049,528.67,,,,06/07/2019,,,,,,Example Company 1,0000050871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,,6418296,,,,,,,,2342,1410.67,,,,08/23/2018,,,,,,The Walter Co,0000050872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,,5603497,,,,,,,,2342,1331.00,,,,03/23/2012,,,,,,The Walter Co,0000050873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,,9248800,,,,,,,,4500,3055.33,,,,11/23/2012,,,,,,PARTS HOUSE LLC.,0000050874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,,7324819,,,,,,,,1432,2984.00,,,,06/05/2018,,,,,,WESTERN PACKAGING,0000050875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,,7509071,,,,,,,,2342,1251.67,,,,06/13/2016,,,,,,The Walter Co,0000050876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,,5291105,,,,,,,,1432,869.00,,,,03/24/2010,,,,,,WESTERN PACKAGING,0000050877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,,9735073,,,,,,,,1432,2119.33,,,,03/20/2013,,,,,,WESTERN PACKAGING,0000050878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,,7038001,,,,,,,,9834,202.00,,,,10/08/2010,,,,,,Supply All INC,0000050879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,,5764410,,,,,,,,7732,3066.33,,,,06/05/2010,,,,,,Digital Supply Co,0000050880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,,7192126,,,,,,,,2342,2456.67,,,,01/03/2014,,,,,,The Walter Co,0000050881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,,1664932,,,,,,,,2049,861.67,,,,05/11/2017,,,,,,Example Company 1,0000050882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,,1910847,,,,,,,,9153,992.67,,,,07/20/2014,,,,,,Water Supply INC,0000050883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,,6588828,,,,,,,,1432,2731.00,,,,01/25/2017,,,,,,WESTERN PACKAGING,0000050884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,,7824911,,,,,,,,2049,110.33,,,,11/01/2017,,,,,,Example Company 1,0000050885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,,8215801,,,,,,,,9834,1353.33,,,,07/15/2017,,,,,,Supply All INC,0000050886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,,3956410,,,,,,,,2049,116.00,,,,07/08/2010,,,,,,Example Company 1,0000050887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,,2550503,,,,,,,,9153,114.67,,,,04/14/2015,,,,,,Water Supply INC,0000050888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,,8123175,,,,,,,,9834,36.33,,,,06/03/2012,,,,,,Supply All INC,0000050889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,,8118693,,,,,,,,4500,954.00,,,,11/03/2011,,,,,,PARTS HOUSE LLC.,0000050890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,,6047311,,,,,,,,2342,2349.00,,,,03/07/2017,,,,,,The Walter Co,0000050891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,421189,,,,,,,,2342,1998.33,,,,05/05/2012,,,,,,The Walter Co,0000050892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,,3502547,,,,,,,,2342,2776.00,,,,02/07/2010,,,,,,The Walter Co,0000050893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,,8510459,,,,,,,,4500,949.00,,,,11/11/2015,,,,,,PARTS HOUSE LLC.,0000050894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,,653769,,,,,,,,7732,1838.33,,,,09/17/2012,,,,,,Digital Supply Co,0000050895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,,9503876,,,,,,,,1432,877.00,,,,09/07/2017,,,,,,WESTERN PACKAGING,0000050896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,,9657989,,,,,,,,7732,837.67,,,,04/04/2012,,,,,,Digital Supply Co,0000050897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,,5992252,,,,,,,,9834,267.00,,,,03/05/2012,,,,,,Supply All INC,0000050898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,,7919104,,,,,,,,2342,1677.00,,,,01/17/2010,,,,,,The Walter Co,0000050899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,,6821387,,,,,,,,9153,2335.67,,,,04/25/2013,,,,,,Water Supply INC,0000050900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,,1587344,,,,,,,,9153,2502.00,,,,07/09/2018,,,,,,Water Supply INC,0000050901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,,3954095,,,,,,,,4500,664.00,,,,01/22/2017,,,,,,PARTS HOUSE LLC.,0000050902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,,5574022,,,,,,,,1432,366.00,,,,06/10/2011,,,,,,WESTERN PACKAGING,0000050903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
